"","frailty_score","age_group_rst","sample_method","mean","number_of_part"
"1","frail","0-49","PAPER",7.60606060606061,33
"2","frail","0-49","CAWI",3.77777777777778,18
"3","frail","0-49","APP",2.625,8
"4","frail","50-59","PAPER",5.16071428571429,56
"5","frail","50-59","CAWI",2.77272727272727,22
"6","frail","50-59","APP",4,2
"7","frail","60-69","PAPER",5.42857142857143,126
"8","frail","60-69","CAWI",2.3030303030303,33
"9","frail","70-79","PAPER",4.96666666666667,150
"10","frail","70-79","CAWI",2.61764705882353,34
"11","frail","80-89","PAPER",5.03305785123967,121
"12","frail","80-89","CAWI",3.05555555555556,36
"13","frail","90-100","PAPER",5.25757575757576,132
"14","frail","90-100","CAWI",2.97560975609756,41
"15","frail","No answer","PAPER",4.16666666666667,18
"16","pre-frail","0-49","PAPER",7.6962962962963,135
"17","pre-frail","0-49","CAWI",4.67469879518072,166
"18","pre-frail","0-49","APP",5.09677419354839,31
"19","pre-frail","50-59","PAPER",7.41176470588235,187
"20","pre-frail","50-59","CAWI",3.62264150943396,106
"21","pre-frail","50-59","APP",3.38461538461538,13
"22","pre-frail","60-69","PAPER",5.46055979643766,393
"23","pre-frail","60-69","CAWI",3.32,125
"24","pre-frail","60-69","APP",8.5,2
"25","pre-frail","70-79","PAPER",4.42274052478134,343
"26","pre-frail","70-79","CAWI",3.01298701298701,77
"27","pre-frail","80-89","PAPER",4.47191011235955,89
"28","pre-frail","80-89","CAWI",2.47619047619048,21
"29","pre-frail","90-100","PAPER",4.73529411764706,34
"30","pre-frail","90-100","CAWI",3.625,8
"31","pre-frail","No answer","PAPER",5.68421052631579,19
"32","non-frail","0-49","PAPER",9.41997063142438,681
"33","non-frail","0-49","CAWI",5.17958656330749,774
"34","non-frail","0-49","APP",4.61111111111111,90
"35","non-frail","50-59","PAPER",7.51834862385321,218
"36","non-frail","50-59","CAWI",4.27807486631016,187
"37","non-frail","50-59","APP",4.78947368421053,19
"38","non-frail","60-69","PAPER",5.98058252427184,309
"39","non-frail","60-69","CAWI",3.88652482269504,141
"40","non-frail","60-69","APP",6,1
"41","non-frail","70-79","PAPER",5.28571428571429,168
"42","non-frail","70-79","CAWI",3.60526315789474,38
"43","non-frail","80-89","PAPER",5.10526315789474,19
"44","non-frail","80-89","CAWI",2,5
"45","non-frail","90-100","PAPER",4.875,8
"46","non-frail","No answer","PAPER",6.82608695652174,23
"47","missing","0-49","PAPER",5.95833333333333,24
"48","missing","50-59","PAPER",6.81818181818182,22
"49","missing","60-69","PAPER",4.45161290322581,93
"50","missing","70-79","PAPER",3.41176470588235,153
"51","missing","80-89","PAPER",2.25581395348837,43
"52","missing","90-100","PAPER",2.89473684210526,19
"53","missing","No answer","PAPER",1.20183486238532,109
